N,P,K,temperature,humidity,ph,rainfall,crop
20.24,25.27,25.62,26.71,58.95,5.98,63.74,millet
14.2,21.16,29.7,25.22,71.05,6.68,51.89,millet
12.71,21.46,26.97,31.43,70.65,6.91,67.68,millet
13.12,22.43,28.42,27.09,56.45,6.55,56.1,millet
28.4,26.5,20.9,34.48,60.17,6.01,56.09,millet
11.02,24.97,21.23,29.01,62.01,6.66,72.13,millet
13.07,23.67,23.73,26.51,70.97,6.56,47.62,millet
17.33,21.06,26.28,26.21,74.72,6.67,55.61,millet
21.57,29.11,25.54,26.74,62.57,6.76,65.77,millet
23.01,28.67,28.94,34.2,56.9,6.32,69.62,millet
25.14,26.07,21.67,32.97,69.4,5.63,58.55,millet
13.48,23.37,20.18,29.0,66.0,6.43,66.54,millet
26.73,22.15,21.2,33.52,58.13,6.96,73.7,millet
20.02,29.81,20.97,28.03,67.76,6.03,77.13,millet
11.31,25.49,25.91,31.53,60.11,6.05,73.75,millet
13.9,28.27,25.63,32.62,69.27,5.81,62.75,millet
27.35,24.32,29.67,29.52,57.86,6.08,78.07,millet
16.39,28.68,28.81,28.5,56.67,6.59,52.46,millet
25.66,43.85,44.71,27.78,62.65,6.44,75.05,soybean
17.35,45.52,51.18,23.62,65.49,6.67,70.78,soybean
15.55,53.67,49.47,25.77,67.95,6.03,84.72,soybean
20.19,45.91,42.19,20.81,58.87,6.95,76.35,soybean
19.33,36.05,35.75,27.17,65.76,6.51,69.72,soybean
24.9,38.36,38.8,24.61,60.73,6.25,85.81,soybean
23.02,51.49,43.35,20.73,60.47,6.98,83.85,soybean
24.19,35.15,45.36,20.38,66.38,6.92,98.74,soybean
20.81,44.16,53.9,26.74,56.3,6.47,69.61,soybean
19.4,44.11,46.64,23.57,58.29,6.5,93.21,soybean
23.28,41.77,53.71,29.12,59.19,6.04,89.65,soybean
26.55,54.36,52.8,26.01,65.6,6.03,69.87,soybean
19.19,47.57,46.15,27.43,60.6,6.56,63.53,soybean
18.27,50.0,48.87,29.91,60.56,6.5,73.18,soybean
18.81,52.14,48.68,28.82,59.07,6.87,62.39,soybean
27.77,41.58,41.29,25.12,73.81,6.05,74.09,soybean
27.13,42.92,38.98,24.25,62.71,6.92,90.48,soybean
20.1,54.77,44.31,20.58,60.25,6.44,66.28,soybean
28.95,50.34,40.37,25.91,69.43,6.94,95.27,soybean
20.3,50.49,46.24,25.53,57.29,6.13,81.18,soybean
15.38,35.42,49.46,20.32,66.91,6.54,98.75,soybean
19.68,36.27,46.03,28.41,74.94,6.43,72.81,soybean
28.13,38.82,47.31,24.06,55.82,6.35,70.61,soybean
23.72,53.98,40.36,28.11,56.11,6.54,62.82,soybean
28.68,50.33,48.16,28.24,67.95,6.97,88.56,soybean
28.49,45.34,37.34,25.28,57.54,6.59,79.3,soybean
22.45,35.2,38.9,24.91,74.01,6.38,76.97,soybean
24.29,47.08,40.98,24.11,59.35,6.97,65.23,soybean
17.44,35.52,39.44,27.8,59.02,6.08,78.98,soybean
10.2,36.7,51.15,27.71,73.3,6.85,87.33,soybean
11.05,50.66,51.91,27.99,65.17,6.23,93.81,soybean
24.54,54.62,38.11,22.26,59.24,6.79,67.48,soybean
11.33,54.97,35.5,28.35,62.31,6.84,82.18,soybean
28.03,53.52,35.18,20.75,60.01,6.67,95.53,soybean
19.2,47.14,38.77,28.05,74.35,6.27,79.79,soybean
11.72,46.18,45.06,21.44,63.84,6.33,80.87,soybean
21.71,35.17,50.22,27.13,62.33,6.05,90.2,soybean
29.1,39.8,41.47,21.84,66.54,6.15,74.25,soybean
23.94,46.2,42.73,24.2,66.24,6.01,63.14,soybean
27.63,36.56,49.14,29.2,60.41,6.37,82.76,soybean
27.63,53.84,49.79,20.87,68.38,6.41,78.83,soybean
10.98,38.82,50.81,24.54,61.03,6.38,94.18,soybean
24.98,40.45,37.35,22.52,73.42,6.58,81.34,soybean
21.93,42.32,51.14,25.23,57.33,6.13,81.47,soybean
28.73,41.17,52.39,27.64,59.96,6.04,64.07,soybean
24.57,38.99,42.43,25.02,69.51,6.11,76.25,soybean
19.7,45.82,51.37,21.72,71.16,6.69,82.23,soybean
23.99,43.24,37.77,26.66,65.49,6.64,73.52,soybean
28.14,46.75,36.71,24.5,70.13,6.79,79.78,soybean
27.89,40.35,43.21,28.99,72.93,6.69,94.36,soybean
51.78,62.3,51.41,11.78,59.79,6.63,50.05,barley
56.41,47.7,50.92,15.72,63.84,6.52,69.86,barley
67.87,60.14,51.64,17.44,58.04,6.2,53.83,barley
66.15,49.93,46.27,11.32,72.17,6.95,50.13,barley
61.11,55.55,58.11,12.33,72.29,6.46,67.77,barley
50.32,52.45,52.03,15.43,56.45,7.19,48.71,barley
63.54,61.06,56.24,17.41,68.24,6.53,72.35,barley
55.89,56.42,59.91,13.79,61.06,6.69,72.72,barley
68.6,55.9,58.23,19.03,56.97,6.35,68.36,barley
66.47,62.14,53.3,10.89,63.76,6.35,51.65,barley
65.45,46.51,61.55,14.28,66.92,6.13,53.49,barley
51.79,64.23,61.15,14.6,59.47,7.4,53.78,barley
53.22,56.26,63.88,10.04,59.76,7.41,46.84,barley
52.26,56.4,62.24,14.77,74.89,7.02,42.96,barley
69.86,53.16,50.75,15.58,61.09,6.13,40.06,barley
58.99,61.74,56.45,19.99,60.74,6.42,46.39,barley
53.28,50.7,60.86,19.06,74.5,6.35,75.25,barley
56.57,47.26,62.4,16.36,58.29,6.64,51.49,barley
64.74,54.07,64.79,10.55,62.1,6.72,60.13,barley
56.32,59.58,62.49,19.39,71.1,7.28,62.02,barley
66.52,51.07,52.97,13.17,64.35,6.43,78.46,barley
56.26,46.96,55.54,10.57,57.21,6.33,58.57,barley
58.67,60.99,59.79,14.26,61.67,6.47,70.96,barley
51.04,45.26,60.91,14.77,57.62,6.35,77.3,barley
67.19,59.2,54.64,15.2,74.5,7.45,48.61,barley
66.22,48.94,49.27,16.76,63.1,7.4,43.56,barley
60.23,63.37,63.08,11.57,62.33,6.93,46.38,barley
69.36,63.29,48.34,11.21,56.71,7.36,47.74,barley
58.33,53.98,56.98,10.72,59.54,7.4,76.34,barley
65.63,45.39,51.54,16.28,60.5,7.36,65.36,barley
51.44,63.18,64.16,10.78,65.65,6.46,55.71,barley
53.59,56.56,64.16,15.03,56.66,6.93,53.61,barley
67.12,53.69,48.86,11.91,70.38,6.4,70.69,barley
54.12,51.43,54.31,19.43,73.63,6.31,54.33,barley
52.99,55.2,54.21,19.01,73.6,6.58,59.67,barley
67.92,61.13,45.07,13.2,63.44,6.34,47.98,barley
50.76,57.87,50.25,10.52,59.62,7.2,74.06,barley
59.66,53.32,64.56,12.01,59.31,6.44,46.91,barley
57.59,63.22,57.31,14.12,73.69,6.07,48.41,barley
61.32,57.31,45.79,14.03,67.98,7.05,65.53,barley
56.41,46.87,53.54,11.29,73.95,6.71,52.69,barley
65.33,54.96,51.2,18.12,72.34,7.01,41.88,barley
61.33,60.27,47.73,12.29,72.65,6.03,70.11,barley
59.48,53.94,45.14,18.19,62.2,6.81,67.09,barley
64.05,64.12,55.63,14.0,74.07,6.96,51.93,barley
52.53,61.85,52.24,16.6,64.42,6.3,64.07,barley
51.21,53.27,55.93,14.36,69.97,7.24,70.85,barley
50.78,48.88,55.73,19.35,71.7,7.26,52.13,barley
58.59,54.41,48.15,10.31,73.94,6.36,49.6,barley
51.67,63.57,56.59,16.67,73.23,6.52,64.86,barley
101.55,53.74,56.62,17.67,67.01,6.38,81.34,cabbage
100.01,54.82,44.16,12.5,76.12,6.28,67.66,cabbage
120.17,67.31,44.83,10.79,67.13,6.75,82.03,cabbage
132.67,69.19,55.85,16.04,69.87,6.04,99.37,cabbage
115.34,53.04,53.33,12.84,71.72,6.59,77.83,cabbage
133.44,55.3,48.97,15.38,73.27,6.78,75.79,cabbage
125.84,53.01,58.65,13.83,74.59,6.02,68.21,cabbage
119.48,67.57,50.55,19.3,69.68,6.49,64.79,cabbage
132.11,54.94,57.99,19.11,78.87,6.52,87.08,cabbage
131.14,52.62,52.02,10.34,69.95,6.15,67.32,cabbage
114.6,58.65,52.46,10.74,70.07,6.18,82.96,cabbage
125.5,61.13,54.77,13.36,75.3,6.43,79.37,cabbage
125.92,50.37,53.08,16.19,66.2,6.09,63.64,cabbage
136.93,63.79,42.54,13.57,71.85,6.84,61.75,cabbage
109.47,67.79,40.18,12.01,79.18,6.61,70.47,cabbage
102.68,50.56,44.89,18.81,68.32,6.72,96.73,cabbage
116.32,53.83,50.34,19.08,76.09,6.07,87.7,cabbage
122.88,68.15,42.45,15.34,77.59,6.41,79.28,cabbage
102.82,55.56,46.49,19.45,65.65,6.46,86.85,cabbage
106.49,59.73,54.77,18.67,72.53,6.67,65.05,cabbage
137.83,52.65,55.49,12.65,78.67,6.72,90.15,cabbage
108.76,58.86,52.36,17.7,62.08,6.96,95.61,cabbage
110.81,66.46,50.37,14.62,66.29,6.58,89.2,cabbage
116.44,62.58,53.99,17.11,61.04,6.86,78.33,cabbage
110.5,54.84,49.66,18.87,67.57,6.75,63.87,cabbage
119.04,69.83,55.41,12.11,70.03,6.23,76.38,cabbage
131.2,65.42,44.56,19.22,71.85,6.38,80.08,cabbage
124.2,61.2,49.73,15.05,63.53,6.81,81.67,cabbage
105.24,65.32,58.65,19.47,67.38,6.14,80.74,cabbage
104.5,68.68,43.67,12.53,68.13,6.38,91.79,cabbage
118.25,53.42,45.34,15.09,62.95,6.61,82.63,cabbage
128.59,68.75,58.25,19.46,64.89,6.13,72.09,cabbage
135.8,69.44,57.19,11.1,78.95,6.42,60.37,cabbage
117.7,50.92,50.88,13.39,69.47,6.61,94.75,cabbage
126.48,58.68,56.39,19.06,62.4,6.53,71.38,cabbage
101.88,63.37,57.26,11.63,76.25,6.85,96.57,cabbage
110.61,68.08,46.41,15.52,61.01,6.04,88.81,cabbage
117.78,55.13,43.81,16.7,60.01,6.81,63.17,cabbage
107.66,57.72,49.7,13.55,66.41,6.96,85.66,cabbage
100.94,58.6,57.5,13.01,61.89,6.76,84.24,cabbage
122.81,51.07,42.81,16.23,64.16,6.5,81.8,cabbage
111.34,68.97,56.85,17.22,61.56,6.11,79.71,cabbage
106.43,69.57,43.17,14.87,67.28,6.64,65.16,cabbage
117.21,55.49,57.76,10.41,78.27,6.83,71.9,cabbage
131.57,50.62,59.34,15.27,66.07,6.36,62.66,cabbage
139.57,50.79,53.1,14.43,78.98,6.25,81.28,cabbage
119.29,64.06,41.36,11.94,64.29,6.74,67.57,cabbage
122.94,54.3,57.23,19.42,70.37,6.35,69.36,cabbage
101.99,55.37,53.08,15.34,78.88,6.4,87.75,cabbage
119.57,60.25,45.36,14.55,69.42,6.71,97.63,cabbage
73.17,30.84,39.93,15.44,63.37,6.76,79.55,spinach
97.83,33.94,47.51,17.04,69.08,6.54,75.49,spinach
79.21,37.46,39.86,15.79,63.78,6.9,70.23,spinach
85.33,31.99,42.08,11.21,61.57,6.53,62.08,spinach
83.55,31.78,38.62,11.75,79.74,6.56,70.62,spinach
73.02,31.89,49.52,12.86,68.48,6.65,50.74,spinach
92.41,40.73,35.56,10.62,63.25,6.9,70.58,spinach
70.0,31.31,43.81,15.72,68.09,6.36,56.5,spinach
86.78,49.41,33.51,15.97,68.48,6.45,57.62,spinach
93.01,39.71,40.87,13.05,63.64,6.09,71.42,spinach
67.85,43.8,37.81,14.16,69.38,6.37,53.02,spinach
72.39,43.27,43.32,12.86,69.2,6.19,56.31,spinach
60.92,47.93,34.21,12.28,65.59,6.13,69.18,spinach
63.01,32.68,42.9,13.4,74.16,6.56,57.68,spinach
86.03,32.33,40.73,14.37,65.36,6.6,76.14,spinach
99.96,42.16,38.09,12.25,65.14,6.48,61.02,spinach
96.55,37.37,37.47,13.84,76.73,6.65,68.43,spinach
73.37,46.36,30.77,18.71,70.25,6.4,64.92,spinach
86.7,30.26,47.43,14.47,66.86,6.14,63.18,spinach
79.85,38.07,43.57,14.21,79.23,6.6,74.22,spinach
64.37,37.95,36.74,15.69,77.22,6.08,52.18,spinach
94.01,34.26,43.38,15.43,76.66,6.13,53.89,spinach
82.27,48.93,38.3,13.27,72.13,6.93,75.11,spinach
99.82,30.45,32.26,16.09,76.41,6.29,57.18,spinach
91.48,31.13,37.39,15.06,71.21,6.73,60.65,spinach
84.51,41.71,40.95,16.4,65.19,6.08,53.58,spinach
68.98,40.0,46.81,17.01,75.78,6.35,62.14,spinach
75.75,33.84,31.22,15.91,79.78,6.17,51.4,spinach
91.18,35.05,46.59,17.04,78.91,6.41,69.86,spinach
78.59,42.61,38.99,11.89,70.16,6.53,74.32,spinach
89.42,43.28,32.27,17.21,70.01,6.89,77.6,spinach
62.21,46.41,30.75,13.67,70.85,6.15,72.39,spinach
60.33,33.37,41.62,17.14,78.33,6.71,70.15,spinach
75.77,30.03,32.4,15.35,73.5,6.42,71.92,spinach
80.87,31.48,33.84,18.4,74.5,6.89,53.53,spinach
99.61,34.19,30.24,19.97,65.62,6.67,55.3,spinach
83.21,48.08,36.4,16.7,63.76,6.62,60.09,spinach
68.45,36.26,33.58,19.02,67.94,6.25,63.45,spinach
72.82,44.89,49.42,14.38,77.22,6.57,54.72,spinach
87.62,40.27,43.01,18.9,68.81,6.9,72.52,spinach
79.54,42.06,36.51,19.84,73.35,6.04,59.8,spinach
84.93,31.13,30.48,14.5,66.65,6.44,57.88,spinach
66.59,43.78,40.29,12.0,66.39,6.59,52.17,spinach
65.9,31.46,46.25,17.52,75.07,6.72,70.08,spinach
79.08,42.85,30.77,16.21,75.56,6.5,60.73,spinach
71.1,42.86,43.86,18.71,66.85,6.77,66.84,spinach
95.31,40.56,40.35,15.78,74.99,6.96,52.21,spinach
62.14,48.75,40.6,16.15,69.65,6.09,73.04,spinach
89.89,36.23,36.12,18.38,61.45,6.88,57.7,spinach
83.72,48.72,43.56,14.14,73.79,6.34,58.32,spinach
69.93,32.51,31.45,13.55,60.98,6.03,86.63,lettuce
65.24,30.37,33.41,10.33,67.34,6.24,83.42,lettuce
51.45,34.54,27.23,19.22,68.52,6.99,86.62,lettuce
68.62,25.05,32.48,19.03,62.79,6.1,82.74,lettuce
68.67,30.42,30.27,11.41,60.02,6.81,72.63,lettuce
62.68,34.15,27.09,16.65,61.57,6.6,74.92,lettuce
64.72,28.01,29.63,15.99,63.43,6.74,79.08,lettuce
63.25,26.58,31.88,11.28,68.51,6.25,92.45,lettuce
55.24,33.82,33.92,11.96,72.28,6.09,81.75,lettuce
64.27,31.59,31.25,12.83,67.56,6.1,91.57,lettuce
60.08,32.09,27.49,13.24,66.68,6.03,80.23,lettuce
66.07,33.97,30.18,14.56,60.62,6.88,70.39,lettuce
68.9,29.89,28.42,19.24,60.49,6.58,86.47,lettuce
54.39,29.29,31.52,17.27,60.01,6.94,74.94,lettuce
54.67,27.63,25.38,11.23,79.73,6.32,73.46,lettuce
52.14,32.19,33.55,12.57,60.42,6.22,71.7,lettuce
52.07,29.32,27.3,15.16,65.07,6.94,97.18,lettuce
61.34,28.54,28.81,14.12,74.55,6.45,95.7,lettuce
68.88,28.36,30.61,10.95,64.01,6.41,76.19,lettuce
67.53,26.58,29.56,16.06,73.84,6.38,96.07,lettuce
61.37,29.4,25.67,14.65,76.41,6.61,94.96,lettuce
59.88,26.18,25.14,13.03,73.96,6.79,78.87,lettuce
59.91,29.21,29.11,12.31,62.73,6.2,71.66,lettuce
53.96,25.09,31.27,13.16,79.46,6.19,80.37,lettuce
57.16,25.08,33.39,10.32,78.8,6.89,86.07,lettuce
60.87,31.54,28.87,16.47,60.9,6.05,83.72,lettuce
60.99,33.88,26.05,18.23,64.2,6.39,79.5,lettuce
58.0,26.5,30.04,18.02,68.83,6.49,95.46,lettuce
64.12,29.9,27.58,18.85,71.54,6.22,78.07,lettuce
66.06,25.44,34.92,11.3,75.92,6.39,84.77,lettuce
67.61,29.13,30.37,10.49,60.05,6.24,90.42,lettuce
52.43,26.14,29.11,16.48,74.24,6.18,72.39,lettuce
68.81,27.61,33.53,18.63,75.45,6.17,94.65,lettuce
65.39,30.97,28.37,12.63,62.44,6.51,87.56,lettuce
57.19,29.75,28.64,16.41,78.03,6.16,81.44,lettuce
52.82,31.25,32.29,19.32,65.58,6.95,71.9,lettuce
62.06,25.57,33.94,15.3,73.39,6.83,74.51,lettuce
50.77,33.79,28.15,11.29,69.37,6.6,70.93,lettuce
55.5,25.33,29.2,18.95,79.65,6.64,74.85,lettuce
68.12,30.16,26.54,19.22,75.15,6.73,91.28,lettuce
54.01,27.11,31.88,12.2,68.77,6.78,93.52,lettuce
59.07,32.92,33.39,16.55,64.57,6.27,79.45,lettuce
52.34,27.73,27.1,14.55,78.17,6.1,91.61,lettuce
63.75,25.96,34.23,15.68,67.27,6.76,77.72,lettuce
63.87,25.4,33.39,14.48,72.73,6.22,90.31,lettuce
65.44,29.73,31.18,14.56,77.88,6.5,95.25,lettuce
66.03,29.11,27.3,14.06,76.52,6.23,85.73,lettuce
66.12,28.53,31.42,12.46,62.19,6.79,72.97,lettuce
55.43,33.55,28.46,19.73,79.59,6.27,71.23,lettuce
64.1,29.51,26.01,17.08,60.62,6.87,74.16,lettuce
32.55,36.76,44.6,16.93,76.03,6.6,60.09,pea
34.69,39.81,40.52,16.32,65.14,7.42,55.09,pea
49.31,35.15,39.81,13.33,68.98,6.86,63.07,pea
38.3,42.33,41.86,18.33,65.0,6.91,67.56,pea
37.39,39.86,38.14,11.42,64.28,6.16,70.49,pea
43.21,44.51,42.3,10.52,77.68,7.29,63.3,pea
41.72,44.76,40.32,19.05,61.66,6.29,63.22,pea
41.7,43.16,44.88,13.89,60.95,7.2,68.13,pea
33.97,39.95,42.42,17.7,69.99,6.46,79.21,pea
43.27,39.08,37.8,17.31,64.84,6.26,65.9,pea
35.8,41.29,36.18,16.55,65.67,6.0,53.81,pea
48.67,43.67,37.34,17.78,72.17,7.46,61.21,pea
43.63,35.64,38.96,19.64,70.78,6.43,53.61,pea
44.07,41.45,38.74,19.51,60.44,6.46,77.63,pea
36.42,37.52,40.34,18.24,62.06,7.41,73.85,pea
33.63,42.12,38.85,14.02,75.67,7.44,53.8,pea
38.41,39.81,38.76,13.63,61.05,7.03,63.09,pea
33.9,43.16,43.03,14.86,65.97,6.96,58.64,pea
34.72,42.31,35.4,10.95,60.14,6.23,52.07,pea
49.92,37.89,36.49,12.41,78.72,6.78,60.94,pea
47.47,38.95,38.35,12.07,67.56,6.48,70.32,pea
35.79,40.77,35.66,11.91,68.15,7.41,61.32,pea
43.28,37.55,36.27,10.59,66.11,6.24,55.22,pea
45.22,35.16,40.58,13.79,70.13,6.84,59.4,pea
35.9,42.33,43.71,11.93,61.95,7.35,60.5,pea
41.03,38.6,36.26,15.89,70.5,6.3,63.56,pea
45.94,40.9,35.97,15.48,74.05,7.19,68.87,pea
33.05,42.1,41.77,10.24,68.23,6.5,70.08,pea
34.32,40.91,44.13,17.98,78.43,7.47,50.32,pea
42.45,39.13,43.6,12.52,79.62,6.92,73.81,pea
31.71,36.83,42.58,10.22,76.34,6.02,69.71,pea
37.3,41.11,41.96,13.42,62.16,6.1,67.67,pea
40.41,42.42,40.1,14.22,67.96,6.04,60.07,pea
49.52,43.74,38.29,15.88,76.95,6.66,50.54,pea
31.49,40.1,44.69,16.93,61.42,6.28,73.14,pea
46.83,41.18,41.44,10.28,76.57,7.18,57.77,pea
44.17,37.15,35.4,12.01,63.57,6.51,62.55,pea
40.17,39.77,37.71,10.29,72.1,6.59,58.96,pea
47.34,42.47,43.58,14.95,62.62,7.04,56.18,pea
38.82,35.65,43.25,11.26,78.06,7.3,63.94,pea
44.89,41.19,43.03,14.32,75.72,6.69,78.23,pea
39.73,39.63,42.85,18.22,71.09,6.27,64.03,pea
49.36,42.53,43.11,10.33,69.36,6.97,74.9,pea
30.99,43.52,40.48,11.97,66.35,6.42,65.93,pea
31.03,36.59,43.13,11.33,64.67,6.68,65.51,pea
45.27,39.47,42.9,16.18,62.26,6.23,63.11,pea
37.94,42.44,40.81,13.88,63.42,6.34,67.27,pea
38.47,40.15,36.71,16.63,77.05,6.39,64.75,pea
49.51,38.33,40.95,10.9,72.12,6.13,78.78,pea
44.31,42.88,42.04,15.9,69.0,7.29,78.71,pea
79.98,44.32,40.83,17.69,69.09,6.21,80.15,broccoli
74.83,40.1,38.8,17.24,79.61,6.35,98.09,broccoli
72.67,35.48,42.75,17.85,75.21,6.15,102.87,broccoli
75.07,37.28,35.12,15.65,66.19,6.12,119.43,broccoli
76.17,36.3,36.99,17.94,61.28,6.86,118.46,broccoli
74.93,39.5,35.22,18.2,68.28,6.27,88.27,broccoli
83.08,39.16,36.8,18.45,71.3,6.86,84.7,broccoli
85.71,41.74,36.15,18.47,68.83,6.94,85.66,broccoli
82.86,38.82,44.57,16.65,79.24,6.9,90.82,broccoli
86.07,44.96,37.53,17.18,70.4,6.29,80.61,broccoli
74.4,37.82,39.44,15.86,77.47,6.7,83.41,broccoli
83.0,41.54,44.56,15.02,64.96,6.93,117.29,broccoli
84.41,42.66,35.91,17.57,64.63,6.18,112.41,broccoli
72.7,39.69,44.39,15.93,79.56,6.99,102.22,broccoli
73.4,38.16,39.24,16.55,65.61,6.97,86.13,broccoli
84.67,35.0,40.96,19.58,65.76,6.19,106.07,broccoli
84.25,41.88,38.19,16.26,79.12,6.92,98.29,broccoli
86.92,39.52,39.24,15.78,68.53,6.54,80.9,broccoli
78.88,42.81,41.8,18.18,78.19,6.02,102.28,broccoli
85.75,40.41,38.24,15.68,77.75,6.47,115.12,broccoli
81.72,41.74,43.04,18.3,67.96,6.51,112.12,broccoli
77.47,38.88,35.96,19.57,61.82,6.65,96.53,broccoli
78.11,41.8,35.67,17.97,75.44,6.83,86.82,broccoli
87.95,41.56,43.82,17.43,70.84,6.92,116.0,broccoli
78.96,37.74,38.93,16.94,65.74,6.27,114.44,broccoli
71.4,41.78,36.73,16.72,61.23,6.27,110.74,broccoli
87.7,37.22,39.64,17.35,77.47,6.76,100.52,broccoli
83.41,43.47,35.1,17.01,78.14,6.74,101.71,broccoli
80.59,38.48,40.21,18.28,68.37,6.71,114.45,broccoli
73.09,39.52,39.08,18.44,65.0,6.64,115.1,broccoli
78.36,44.11,44.93,15.53,64.66,6.95,118.33,broccoli
71.95,35.15,36.61,19.98,63.6,6.5,113.94,broccoli
70.41,41.04,37.77,19.31,65.67,6.69,106.97,broccoli
74.43,35.35,39.09,16.45,76.18,6.8,98.28,broccoli
82.13,41.04,43.27,17.13,65.51,6.27,101.45,broccoli
78.98,39.4,35.91,18.59,64.27,6.2,96.51,broccoli
74.56,40.84,38.71,17.24,70.74,6.2,86.23,broccoli
87.61,39.34,39.12,15.18,69.96,6.55,102.35,broccoli
84.14,36.77,37.52,19.05,78.94,6.14,99.91,broccoli
74.28,35.6,38.26,15.72,74.2,6.53,85.75,broccoli
70.18,43.08,36.76,18.03,66.74,6.59,92.63,broccoli
71.74,37.23,36.88,17.14,73.17,6.26,80.48,broccoli
80.38,41.06,44.63,17.95,69.42,6.57,117.12,broccoli
86.57,38.23,37.37,16.31,70.09,6.74,100.13,broccoli
71.36,42.24,43.06,16.45,73.28,6.43,115.56,broccoli
86.9,40.25,41.92,19.42,69.91,6.31,110.15,broccoli
74.4,38.89,43.66,18.62,68.08,6.21,94.24,broccoli
75.68,36.76,42.43,16.26,69.08,6.39,119.28,broccoli
77.82,35.8,35.9,17.95,71.99,6.42,97.27,broccoli
71.08,40.17,40.05,15.75,62.08,6.12,84.04,broccoli
62.19,36.96,37.51,15.87,74.16,6.68,80.76,carrot
56.55,37.1,39.92,15.1,68.43,6.42,97.47,carrot
53.29,43.04,42.92,15.64,62.97,6.14,81.37,carrot
55.26,40.56,39.11,19.74,57.53,6.78,80.77,carrot
65.46,38.39,36.43,19.29,61.18,6.53,89.16,carrot
59.44,39.96,42.32,15.44,68.36,6.72,76.44,carrot
52.81,42.17,39.37,17.02,57.74,6.41,78.16,carrot
59.53,42.64,37.58,17.4,74.84,6.55,96.03,carrot
58.3,42.68,35.41,15.61,59.06,6.32,96.14,carrot
56.93,41.55,42.09,17.93,62.14,6.46,83.56,carrot
51.68,44.93,36.27,15.36,72.57,6.24,91.26,carrot
56.58,38.91,37.62,16.72,63.21,6.58,87.79,carrot
68.87,35.42,40.03,17.92,73.4,6.04,89.34,carrot
67.07,37.42,43.76,15.1,69.65,6.75,91.43,carrot
58.78,35.45,44.2,17.35,55.58,6.55,87.05,carrot
52.49,37.14,35.64,17.87,67.44,6.4,95.43,carrot
67.22,41.16,35.13,18.48,63.36,6.45,91.23,carrot
57.0,44.17,36.34,18.36,55.09,6.74,77.81,carrot
51.9,38.33,38.74,16.07,66.7,6.35,75.85,carrot
56.39,43.1,41.9,18.62,68.96,6.25,77.49,carrot
55.45,43.32,44.8,17.47,55.19,6.11,83.05,carrot
61.57,35.75,44.43,16.83,73.25,6.62,93.89,carrot
62.13,41.27,41.38,18.14,66.07,6.79,93.31,carrot
65.54,43.72,37.16,15.42,64.66,6.41,95.73,carrot
58.88,40.71,40.27,15.19,67.3,6.66,78.94,carrot
61.89,40.94,36.64,15.62,74.6,6.31,80.69,carrot
53.43,41.68,41.09,18.22,56.76,6.71,84.73,carrot
56.27,39.62,38.9,19.32,73.59,6.24,96.6,carrot
65.63,44.31,37.46,17.88,60.49,6.66,75.13,carrot
61.3,38.39,38.23,18.22,72.03,6.49,96.33,carrot
55.29,40.2,39.51,15.06,66.14,6.53,89.8,carrot
64.73,40.71,35.67,15.58,66.93,6.22,76.99,carrot
58.59,40.54,38.29,18.6,67.88,6.27,93.87,carrot
62.97,41.37,40.53,15.06,68.93,6.3,98.57,carrot
66.36,40.88,37.52,16.02,61.81,6.38,82.4,carrot
60.3,36.65,44.78,15.54,73.64,6.73,88.13,carrot
64.5,39.36,41.3,16.7,61.02,6.46,87.45,carrot
61.59,37.87,38.67,15.42,56.05,6.2,76.86,carrot
52.08,43.13,35.39,18.29,60.45,6.7,87.12,carrot
56.11,40.18,38.82,17.82,57.29,6.8,85.64,carrot
56.96,42.1,38.64,19.17,64.09,6.58,77.69,carrot
66.92,42.36,37.12,15.73,61.33,6.78,81.42,carrot
59.12,35.3,38.97,17.86,74.06,6.41,95.48,carrot
60.94,35.41,38.15,17.88,74.01,6.69,80.71,carrot
54.4,37.01,44.22,19.26,70.5,6.31,87.61,carrot
59.29,37.53,40.05,15.15,57.64,6.71,93.79,carrot
58.46,40.17,38.7,18.7,70.68,6.61,93.07,carrot
54.09,38.38,39.7,16.65,70.1,6.26,78.46,carrot
57.98,44.8,37.26,18.06,63.66,6.06,87.2,carrot
64.04,40.13,43.72,16.44,56.72,6.75,84.45,carrot
23.65,55.84,46.49,28.58,57.71,5.94,73.02,groundnut
27.17,44.45,54.35,29.72,65.56,6.31,101.49,groundnut
19.89,49.51,52.06,29.93,73.76,6.79,140.02,groundnut
22.02,53.15,57.9,26.96,74.24,6.12,114.1,groundnut
25.65,59.01,44.89,28.73,65.42,5.9,129.89,groundnut
23.28,53.22,46.46,27.41,67.35,6.11,77.85,groundnut
29.42,50.23,54.68,27.06,62.1,6.11,96.83,groundnut
23.16,50.87,49.94,25.67,64.92,5.75,71.35,groundnut
28.99,52.1,53.19,27.01,73.18,6.46,129.23,groundnut
20.53,59.2,56.41,29.27,58.44,5.91,85.71,groundnut
19.06,57.11,40.64,25.38,60.48,5.8,80.87,groundnut
26.97,51.26,40.12,27.15,63.16,5.67,120.85,groundnut
25.53,54.42,54.57,25.0,74.08,6.72,141.36,groundnut
15.23,58.68,56.2,29.19,56.87,6.61,146.39,groundnut
25.18,51.41,58.91,27.21,66.99,6.21,143.96,groundnut
16.14,50.02,53.74,28.96,66.66,6.86,144.78,groundnut
15.96,48.05,40.47,26.65,65.74,6.87,136.19,groundnut
